timestamp(ms),Speed_RPM,Error,
"1705049902.524",,"48.7",
"1705049902.534","60.58",,
"1705049902.535",,"39.42",
"1705049902.545","54.43",,
"1705049902.548",,"45.57",
"1705049902.557","51.72",,
"1705049902.558",,"48.28",
"1705049902.568","60.78",,
"1705049902.57",,"39.22",
"1705049902.58","51.51",,
"1705049902.582",,"48.49",
"1705049902.591","52.3",,
"1705049902.593",,"47.7",
"1705049902.603","56.82",,
"1705049902.604",,"43.18",
"1705049902.614","57.43",,
"1705049902.616",,"42.57",
"1705049902.626","52.23",,
"1705049902.627",,"47.77",
"1705049902.637","55.8",,
"1705049902.644",,"44.2",
"1705049902.664","55.89",,
"1705049902.679","49.87","50.13",
"1705049902.686","50.88","49.12",
"1705049902.696","49.87",,
"1705049902.697",,"50.13",
"1705049902.706","49.15",,
"1705049902.709",,"50.85",
"1705049902.72","54.9",,
"1705049902.723",,"45.1",
"1705049902.729","48.64",,
"1705049902.731",,"51.36",
"1705049902.741","49.54",,
"1705049902.742",,"50.46",
"1705049902.753","53.8",,
"1705049902.754",,"46.2",
"1705049902.764","54.74",,
"1705049902.766",,"45.26",
"1705049902.775","50.07",,
"1705049902.777",,"49.93",
"1705049902.787","49.93",,
"1705049902.789",,"50.07",
"1705049902.799","51.51",,
"1705049902.8",,"48.49",
"1705049902.81","50.74",,
"1705049902.812",,"49.26",
"1705049902.821","56.14",,
"1705049902.823",,"43.86",
"1705049902.833","51.87",,
"1705049902.835",,"48.13",
"1705049902.845","50.74",,
"1705049902.846",,"49.26",
"1705049902.856","50.4",,
"1705049902.858",,"49.6",
"1705049902.868","56.48",,
"1705049902.87",,"43.52",
"1705049902.88","52.74",,
"1705049902.881",,"47.26",
"1705049902.891","50.34",,
"1705049902.892",,"49.66",
"1705049902.902","58.78",,
"1705049902.904",,"41.22",
"1705049902.914","49.67",,
"1705049902.916",,"50.33",
"1705049902.925","50.27",,
"1705049902.927",,"49.73",
"1705049902.937","54.99",,
"1705049902.939",,"45.01",
"1705049902.948","57.08",,
"1705049902.95",,"42.92",
"1705049902.96","52.74",,
"1705049902.962",,"47.26",
"1705049902.971","53.04",,
"1705049902.973",,"46.96",
"1705049902.983","54.82",,
"1705049902.984",,"45.18",
"1705049902.994","54.51",,
"1705049902.996",,"45.49",
"1705049903.006","54.82",,
"1705049903.008",,"45.18",
"1705049903.018","56.82",,
"1705049903.019",,"43.18",
"1705049903.029","56.14",,
"1705049903.03",,"43.86",
"1705049903.04","55.23",,
"1705049903.042",,"44.77",
"1705049903.052","59.62",,
"1705049903.054",,"40.38",
"1705049903.063","53.65",,
"1705049903.065",,"46.35",
"1705049903.075","52.45",,
"1705049903.076",,"47.55",
"1705049903.086","53.42",,
"1705049903.088",,"46.58",
"1705049903.098","52.08",,
"1705049903.1",,"47.92",
"1705049903.109","56.99",,
"1705049903.111",,"43.01",
"1705049903.121","52.08",,
"1705049903.122",,"47.92",
"1705049903.134","50.88",,
"1705049903.135",,"49.12",
"1705049903.144","56.99",,
"1705049903.146",,"43.01",
"1705049903.155","58.96",,
"1705049903.157",,"41.04",
"1705049903.167","55.8",,
"1705049903.169",,"44.2",
"1705049903.178","53.96",,
"1705049903.18",,"46.04",
"1705049903.19","61.07",,
"1705049903.191",,"38.93",
"1705049903.201","57.34",,
"1705049903.203",,"42.66",
"1705049903.213","54.82",,
"1705049903.215",,"45.18",
"1705049903.224","62.09",,
"1705049903.226",,"37.91",
"1705049903.236","58.14",,
"1705049903.237",,"41.86",
"1705049903.247","54.59",,
"1705049903.249",,"45.41",
"1705049903.259","59.52",,
"1705049903.26",,"40.48",
"1705049903.27","54.82",,
"1705049903.272",,"45.18",
"1705049903.282","51.16",,
"1705049903.284",,"48.84",
"1705049903.293","58.96",,
"1705049903.295",,"41.04",
"1705049903.305","49.41",,
"1705049903.307",,"50.59",
"1705049903.316","49.73",,
"1705049903.318",,"50.27",
"1705049903.327","53.34",,
"1705049903.329",,"46.66",
"1705049903.339","53.65",,
"1705049903.34",,"46.35",
"1705049903.351","49.28",,
"1705049903.352",,"50.72",
"1705049903.362","55.23",,
"1705049903.364",,"44.77",
"1705049903.373","51.65",,
"1705049903.375",,"48.35",
"1705049903.385","51.37",,
"1705049903.386",,"48.63",
"1705049903.397","57.16",,
"1705049903.399",,"42.84",
"1705049903.408","58.14",,
"1705049903.41",,"41.86",
"1705049903.419","54.51",,
"1705049903.421",,"45.49",
"1705049903.431","52.3",,
"1705049903.433",,"47.7",
"1705049903.442","61.17",,
"1705049903.444",,"38.83",
"1705049903.454","51.16",,
"1705049903.455",,"48.84",
"1705049903.466","50.4",,
"1705049903.467",,"49.6",
"1705049903.477","53.42",,
"1705049903.479",,"46.58",
"1705049903.488","53.12",,
"1705049903.49",,"46.88",
"1705049903.5","47.59",,
"1705049903.502",,"52.41",
"1705049903.511","46.18",,
"1705049903.513",,"53.82",
"1705049903.523","51.58",,
"1705049903.525",,"48.42",
"1705049903.535","47.59",,
"1705049903.536",,"52.41",
"1705049903.546","45.18",,
"1705049903.548",,"54.82",
"1705049903.557","50.4",,
"1705049903.559",,"49.6",
"1705049903.569","54.35",,
"1705049903.571",,"45.65",
"1705049903.581","52.16",,
"1705049903.582",,"47.84",
"1705049903.592","53.42",,
"1705049903.594",,"46.58",
"1705049903.604","61.07",,
"1705049903.605",,"38.93",
"1705049903.616","56.9",,
"1705049903.617",,"43.1",
"1705049903.627","62.92",,
"1705049903.628",,"37.08",
"1705049903.638","58.41",,
"1705049903.64",,"41.59",
"1705049903.649","59.52",,
"1705049903.651",,"40.48",
"1705049903.661","68.06",,
"1705049903.663",,"31.94",
"1705049903.673","58.78",,
"1705049903.675",,"41.22",
"1705049903.684","54.35",,
"1705049903.686",,"45.65",
"1705049903.696","61.98",,
"1705049903.697",,"38.02",
"1705049903.707","51.58",,
"1705049903.709",,"48.42",
"1705049903.719","51.3",,
"1705049903.72",,"48.7",
"1705049903.73","58.5",,
"1705049903.732",,"41.5",
"1705049903.742","48.83",,
"1705049903.743",,"51.17",
"1705049903.753","49.02",,
"1705049903.755",,"50.98",
"1705049903.765","48.96",,
"1705049903.767",,"51.04",
"1705049903.776","56.48",,
"1705049903.778",,"43.52",
"1705049903.788","53.04",,
"1705049903.79",,"46.96",
"1705049903.8","53.72",,
"1705049903.801",,"46.28",
"1705049903.811","56.14",,
"1705049903.813",,"43.86",
"1705049903.822","56.31",,
"1705049903.824",,"43.69",
"1705049903.835","56.56",,
"1705049903.836",,"43.44",
"1705049903.845","62.71",,
"1705049903.847",,"37.29",
"1705049903.857","57.78",,
"1705049903.858",,"42.22",
"1705049903.868","61.48",,
"1705049903.87",,"38.52",
"1705049903.88","60.78",,
"1705049903.882",,"39.22",
"1705049903.891","54.27",,
"1705049903.893",,"45.73",
"1705049903.903","57.16",,
"1705049903.905",,"42.84",
"1705049903.915","57.34",,
"1705049903.916",,"42.66",
"1705049903.926","51.51",,
"1705049903.928",,"48.49",
"1705049903.938","50.54",,
"1705049903.939",,"49.46",
"1705049903.949","51.51",,
"1705049903.951",,"48.49",
"1705049903.96","50.27",,
"1705049903.962",,"49.73",
"1705049903.972","56.39",,
"1705049903.973",,"43.61",
"1705049903.983","58.5",,
"1705049903.985",,"41.5",
"1705049903.995","55.64",,
"1705049903.996",,"44.36",
"1705049904.006","60.1",,
"1705049904.008",,"39.9",
"1705049904.018","61.48",,
"1705049904.02",,"38.52",
"1705049904.029","57.96",,
"1705049904.031",,"42.04",
"1705049904.041","61.68",,
"1705049904.042",,"38.32",
"1705049904.052","63.03",,
"1705049904.054",,"36.97",
"1705049904.064","56.99",,
"1705049904.065",,"43.01",
"1705049904.075","62.09",,
"1705049904.077",,"37.91",
"1705049904.087","55.89",,
"1705049904.088",,"44.11",
"1705049904.098","53.96",,
"1705049904.1",,"46.04",
"1705049904.109","58.87",,
"1705049904.111",,"41.13",
"1705049904.121","59.15",,
"1705049904.123",,"40.85",
"1705049904.133","54.66",,
"1705049904.134",,"45.34",
"1705049904.144","51.51",,
"1705049904.146",,"48.49",
"1705049904.156","57.69",,
"1705049904.157",,"42.31",
"1705049904.167","53.57",,
"1705049904.169",,"46.43",
"1705049904.178","51.09",,
"1705049904.181",,"48.91",
"1705049904.19","60.1",,
"1705049904.191",,"39.9",
"1705049904.202","51.16",,
"1705049904.203",,"48.84",
"1705049904.213","52.23",,
"1705049904.214",,"47.77",
"1705049904.224","56.48",,
"1705049904.226",,"43.52",
"1705049904.236","57.69",,
"1705049904.237",,"42.31",
"1705049904.247","52.74",,
"1705049904.25",,"47.26",
"1705049904.259","56.99",,
"1705049904.26",,"43.01",
"1705049904.27","57.87",,
"1705049904.272",,"42.13",
"1705049904.282","52.59",,
"1705049904.283",,"47.41",
"1705049904.293","51.37",,
"1705049904.295",,"48.63",
"1705049904.305","52.23",,
"1705049904.306",,"47.77",
"1705049904.316","50.88",,
"1705049904.318",,"49.12",
"1705049904.329","55.64",,
"1705049904.331",,"44.36",
"1705049904.339","55.97",,
"1705049904.341",,"44.03",
"1705049904.351","52.01",,
"1705049904.353",,"47.99",
"1705049904.362","49.02",,
"1705049904.364",,"50.98",
"1705049904.374","57.34",,
"1705049904.375",,"42.66",
"1705049904.385","48.51",,
"1705049904.387",,"51.49",
"1705049904.397","49.15",,
"1705049904.399",,"50.85",
"1705049904.408","53.12",,
"1705049904.41",,"46.88",
"1705049904.42","53.88",,
"1705049904.421",,"46.12",
"1705049904.431","49.47",,
"1705049904.433",,"50.53",
"1705049904.443","54.43",,
"1705049904.444",,"45.57",
"1705049904.454","54.9",,
"1705049904.456",,"45.1",
"1705049904.466","51.51",,
"1705049904.467",,"48.49",
"1705049904.477","49.08",,
"1705049904.479",,"50.92",
"1705049904.489","58.23",,
"1705049904.49",,"41.77",
"1705049904.5","51.02",,
"1705049904.502",,"48.98",
"1705049904.512","52.89",,
"1705049904.514",,"47.11",
"1705049904.524","63.45",,
"1705049904.525",,"36.55",
"1705049904.535","54.82",,
"1705049904.537",,"45.18",
"1705049904.546","56.39",,
"1705049904.548",,"43.61",
"1705049904.558","66.37",,
"1705049904.56",,"33.63",
"1705049904.57","60.1",,
"1705049904.571",,"39.9",
"1705049904.581","57.87",,
"1705049904.583",,"42.13",
"1705049904.593","63.78",,
"1705049904.594",,"36.22",
"1705049904.604","58.5",,
"1705049904.606",,"41.5",
"1705049904.616","60.29",,
"1705049904.618",,"39.71",
"1705049904.627","60.19",,
"1705049904.629",,"39.81",
"1705049904.639","55.39",,
"1705049904.64",,"44.61",
"1705049904.65","51.87",,
"1705049904.652",,"48.13",
"1705049904.662","57.34",,
"1705049904.664",,"42.66",
"1705049904.673","53.12",,
"1705049904.675",,"46.88",
"1705049904.685","50.54",,
"1705049904.687",,"49.46",
"1705049904.696","59.81",,
"1705049904.698",,"40.19",
"1705049904.708","51.87",,
"1705049904.709",,"48.13",
"1705049904.719","53.42",,
"1705049904.721",,"46.58",
"1705049904.73","58.78",,
"1705049904.732",,"41.22",
"1705049904.742","54.59",,
"1705049904.744",,"45.41",
"1705049904.753","55.97",,
"1705049904.755",,"44.03",
"1705049904.765","60.88",,
"1705049904.767",,"39.12",
"1705049904.818","65.91","43.01",
"1705049904.819","54.74","45.26",
"1705049904.829","54.03","45.97",
"1705049904.834","62.5",,
"1705049904.836",,"37.5",
"1705049904.846","52.52",,
"1705049904.847",,"47.48",
"1705049904.857","52.45",,
"1705049904.859",,"47.55",
"1705049904.869","60.29",,
"1705049904.87",,"39.71",
"1705049904.88","50.95",,
"1705049904.881",,"49.05",
"1705049904.891","51.23",,
"1705049904.893",,"48.77",
"1705049904.903","55.8",,
"1705049904.905",,"44.2",
"1705049904.915","57.87",,
"1705049904.916",,"42.13",
"1705049904.926","53.42",,
"1705049904.928",,"46.58",
"1705049904.937","53.72",,
"1705049904.939",,"46.28",
"1705049904.949","60.1",,
"1705049904.951",,"39.9",
"1705049904.96","55.15",,
"1705049904.962",,"44.85",
"1705049904.972","54.82",,
"1705049904.973",,"45.18",
"1705049904.983","60.78",,
"1705049904.985",,"39.22",
"1705049904.994","55.56",,
